Row,Column,Abbreviation,State,Year,Death per capita,Population,Deaths
5,5.00,KS,Kansas,2017,0.443625667,"2,907,857",129
4,6.50,KY,Kentucky,2017,0.528168579,"4,449,337",235
6,5.50,LA,Louisiana,2017,0.962855095,"4,694,372",452
0,11.50,ME,Maine,2017,0.209972966,"1,333,505",28
4,8.50,MD,Maryland,2017,0.679042801,"6,037,911",410
2,10.50,MA,Massachusetts,2017,0.159372616,"6,839,318",109
2,7.50,MI,Michigan,2017,0.313918513,"9,938,885",312
2,4.50,MN,Minnesota,2017,0.169141744,"5,557,469",94
6,6.50,MS,Mississippi,2017,0.886862455,"2,988,062",265
4,5.50,MO,Missouri,2017,0.844545383,"6,109,796",516
2,2.50,MT,Montana,2017,0.332394083,"1,052,967",35
4,4.50,NE,Nebraska,2017,0.203075606,"1,920,467",39
4,2.50,NV,Nevada,2017,0.527306817,"2,996,358",158
1,11.00,NH,New Hampshire,2017,0.141846195,"1,339,479",19
3,10.00,NJ,New Jersey,2017,0.263583573,"8,953,517",236
6,3.50,NM,New Mexico,2017,0.489983677,"2,081,702",102
2,9.50,NY,New York,2017,0.143339076,"19,743,395",283
5,9.00,NC,North Carolina,2017,0.451337881,"10,258,390",463
2,3.50,ND,North Dakota,2017,0.184436461,"759,069",14
3,8.00,OH,Ohio,2017,0.496401476,"11,623,656",577
6,4.50,OK,Oklahoma,2017,0.545725724,"3,939,708",215
4,1.50,OR,Oregon,2017,0.213824293,"4,162,296",89
3,9.00,PA,Pennsylvania,2017,0.414039784,"12,776,550",529
2,11.50,RI,Rhode Island,2017,0.094585456,"1,057,245",10
6,8.50,SC,South Carolina,2017,0.652424193,"5,027,404",328
3,4.00,SD,South Dakota,2017,0.206188165,"872,989",18
5,7.00,TN,Tennessee,2017,0.623198613,"6,707,332",418
7,4.00,TX,Texas,2017,0.343870289,"28,295,553",973
5,4.00,UT,Utah,2017,0.199241468,"3,111,802",62
1,10.00,VT,Vermont,2017,0.144439095,"623,100",9
5,8.00,VA,Virginia,2017,0.354776456,"8,456,029",300
2,1.50,WA,Washington,2017,0.242727938,"7,415,710",180
4,7.50,WV,West Virginia,2017,0.378881268,"1,821,151",69
2,5.50,WI,Wisconsin,2017,0.310906335,"5,789,525",180
3,3.00,WY,Wyoming,2017,0.102661148,"584,447",6
