incident_date,city,victims,district,geolocation,state,incident_id,injured,address,killed
"November 21, 2017",Chicago,,,,Illinois,/incident/993396,0,11900 S Yale Ave,1
"November 21, 2017",Chicago,,,,Illinois,/incident/993394,0,1600 N Wolcott Ave,0
"November 22, 2017",Bakersfield,,,,California,/incident/993750,1,1000 block of Oregon,0
"November 21, 2017",Cleveland,,,,Ohio,/incident/993188,1,3200 Block of E 117th St,0
"November 21, 2017",Cleveland,,,,Ohio,/incident/993519,1,7301 Clark Ave,0
"November 21, 2017",Cleveland,,,,Ohio,/incident/993516,1,E 115th St,0
"November 21, 2017",Nashville,,,,Tennessee,/incident/993006,0,857 S 8th Ct,1
"November 21, 2017",Canton,,,,Ohio,/incident/993512,0,1609 St Elmo Ave NE,0
"November 21, 2017",Dublin,,,,North Carolina,/incident/992891,0,NC 410 and Paul Brisson Rd,0
"November 21, 2017",Canton,,,,Ohio,/incident/993508,0,800 Block of Tuscarawas St W,0
"November 21, 2017",San Antonio,,,,Texas,/incident/993318,1,110 Mercedes Street,0
"November 21, 2017",Chicago,,,,Illinois,/incident/993391,1,3700 E 98th St,0
"November 21, 2017",Brooklyn,,,,New York,/incident/993385,0,Brooklyn Ave and Empire Blvd,0
"November 22, 2017",Greenwood,,,,South Carolina,/incident/993739,0,1091 Parkland Place Rd,0
"November 22, 2017",Wilmington,,,,Delaware,/incident/993442,2,W 7th St and N Tatnall St,0
"November 21, 2017",Phoenix,,,,Arizona,/incident/993730,0,7th St and Union Hills Dr,1
"November 21, 2017",Spokane,,,,Washington,/incident/993722,0,2111 W Wellesley Ave,0
"November 21, 2017",Greenwood,,,,South Carolina,/incident/993156,1,1401 Phoenix St,1
"November 21, 2017",El Paso,,,,Texas,/incident/993146,0,Fiesta Dr,0
"November 21, 2017",Columbia,,,,South Carolina,/incident/993140,1,1500 Block of Omarest Dr,0
"November 21, 2017",Columbus,,,,Ohio,/incident/993135,0,1000 block of Loretta Ave,1
"November 21, 2017",Columbus,,,,Ohio,/incident/993130,1,2000 block of Maryland Ave,0
"November 21, 2017",Marshfield,,,,Missouri,/incident/993122,2,200 block of N Mill,1
"November 21, 2017",Phoenix,,,,Arizona,/incident/993117,1,21st Ave and Campbell Ave,0
"November 21, 2017",Peoria,,,,Illinois,/incident/993690,0,1100 block of E Gift Ave,1
"November 21, 2017",Rockford,,,,Illinois,/incident/993105,0,1500 block of Magnolia St,0
"November 21, 2017",Clearfield (Sunset),,,,Utah,/incident/993100,0,1331 N 400 W,1
"November 21, 2017",Newnan,,,,Georgia,/incident/993095,1,Fairmount St,0
"November 21, 2017",Atlanta,,,,Georgia,/incident/993008,1,3000 Block of Clifton Church Rd,0
"November 21, 2017",North Charleston,,,,South Carolina,/incident/993067,0,N/A,0
"November 21, 2017",Macon,,,,Georgia,/incident/993061,1,4006 Mercer University Dr,0
"November 21, 2017",Bronx,,,,New York,/incident/993063,1,E Gun Hill Rd and Bouck Ave,0
"November 21, 2017",New York (Manhattan),,,,New York,/incident/993059,1,10th Ave and W 207th St,0
"November 21, 2017",Springfield,,,,Massachusetts,/incident/993674,0,21 Wellington St,0
"November 21, 2017",Washington,,,,District of Columbia,/incident/993043,1,N St NW,0
"November 21, 2017",Worcester,,,,Massachusetts,/incident/993668,0,1223 W Boylston St,0
"November 21, 2017",Augusta,,,,Georgia,/incident/993029,1,2000 Block of Central Ave,0
"November 21, 2017",Niagara Falls,,,,New York,/incident/993015,1,1100 block of North Ave,0
"November 21, 2017",New Iberia,,,,Louisiana,/incident/993377,1,100 block of Rosier Street,0
"November 21, 2017",Opelousas,,,,Louisiana,/incident/993375,1,700 block of Hall St,0
"November 21, 2017",La Place (Laplace),,,,Louisiana,/incident/993372,0,N/A,0
"November 21, 2017",New Orleans,,,,Louisiana,/incident/993370,1,St. Bernard Avenue and North Claiborne Avenue,0
"November 21, 2017",Loranger,,,,Louisiana,/incident/993368,1,Lanier Creek Road,0
"November 21, 2017",Baltimore,,,,Maryland,/incident/993324,0,200 block of Park Ave,1
"November 21, 2017",Chicago,,,,Illinois,/incident/993360,1,5700 S Kenton Ave,0
"November 21, 2017",Childersburg,,,,Alabama,/incident/993346,0,115 Sadie Lee Dr,1
"November 21, 2017",Springfield,,,,Missouri,/incident/992745,0,1114 W Kearney St,1
"November 21, 2017",Bessemer (Hueytown),,,,Alabama,/incident/993342,3,Johns Road,0
"November 21, 2017",Clermont,,,,Florida,/incident/992733,0,Laws Rd and SR 33,0
"November 21, 2017",Jacksonville,,,,Florida,/incident/992717,0,Hammond Blvd and Cahoon Rd,1
"November 21, 2017",Bridgeton,,,,New Jersey,/incident/992714,0,100 block of Walnut St,0
"November 21, 2017",Willingboro,,,,New Jersey,/incident/992711,0,Bermuda Cir,0
"November 21, 2017",Jacksonville,,,,Florida,/incident/993333,0,Belfort Rd,0
"November 21, 2017",Baltimore,,,,Maryland,/incident/993327,1,N/A,0
"November 21, 2017",Baltimore,,,,Maryland,/incident/993330,1,N Mount St,0
"November 21, 2017",Baltimore,,,,Maryland,/incident/993322,1,5900 block of Waycross Rd,0
"November 21, 2017",Baltimore,,,,Maryland,/incident/993316,0,600 block of Bradford Ave,0
"November 21, 2017",Santa Rosa Beach,,,,Florida,/incident/992672,0,N/A,0
"November 21, 2017",Cocoa,,,,Florida,/incident/993313,1,1711 Dixon Blvd,0
"November 21, 2017",Osceola (county),,,,Florida,/incident/993311,0,N/A,0
"November 21, 2017",Jonesboro,,,,Arkansas,/incident/993307,0,1000 block of Cartwright St,0
"November 21, 2017",Tallahassee,,,,Florida,/incident/993304,0,1111 High Rd,0
